feature,log2FC,p_value,p_adj,modality
ACSL6_geneExp,-1.8554192,1.0589858e-05,0.01428042350380565,mRNA
TACR1_geneExp,-1.6572418,7.448369e-06,0.01428042350380565,mRNA
ATP1A2_geneExp,-2.0568814,1.5691538e-05,0.01729620750847971,mRNA
SFRP1_geneExp,-1.6872463,0.0001520844,0.027420181020094855,mRNA
SLC2A4_geneExp,-1.8985028,0.00040415378,0.033843612338252435,mRNA
LRRC4B_geneExp,-2.5080113,0.00037662702,0.033843612338252435,mRNA
B3GAT1_geneExp,-2.4266763,0.0003928607,0.033843612338252435,mRNA
PIPOX_geneExp,-2.1448898,0.0004611278,0.03473915393752379,mRNA
CACNA2D2_geneExp,-1.9185176,0.0004668401,0.034974104821837194,mRNA
CNTFR_geneExp,-1.6058774,0.0006419241,0.0398677948449569,mRNA
F7_geneExp,-2.1551552,0.00070453115,0.040491679793848545,mRNA
CACNA1B_geneExp,-2.9771438,0.00089495326,0.04512113364472662,mRNA
AGT_geneExp,-2.9311008,0.00089448376,0.04512113364472662,mRNA
MMP13_geneExp,2.303701,0.00089247327,0.04512113364472662,mRNA
GABRA1_geneExp,-1.8554364,0.0010529492,0.047016623655460554,mRNA
