,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114,z115,z116,z117,z118,z119,z120,z121,z122,z123,z124,z125,z126,z127,z128,z129,z130,z131,z132,z133,z134,z135,z136,z137,z138,z139,z140,z141,z142,z143,z144,z145,z146,z147,z148,z149,z150,z151,z152,z153,z154,z155,z156,z157,z158,z159,z160,z161,z162,z163,z164,z165,z166,z167,z168,z169,z170,z171,z172,z173,z174,z175,z176,z177,z178,z179,z180,z181,z182,z183,z184,z185,z186,z187,z188,z189,z190,z191,z192,z193,z194,z195,z196,z197,z198,z199
TCGA-2J-AAB1-01,0.0,0.13329862,0.0,0.0,0.046974733,0.009713755,0.0,0.042699188,0.14777206,0.13175714,0.035005838,0.10346051,0.0,0.046993263,0.0,0.0,0.0,0.006513076,0.0,0.0,0.021636104,0.08092556,0.012043616,0.08769983,0.0,0.26733994,0.0809312,0.04381973,0.10253085,0.011345619,0.0,0.0,0.0,0.07075549,0.0,0.0,0.1337911,0.1609236,0.033840645,0.0,0.0,0.0,0.17825933,0.0,0.0,0.012200317,0.0,0.05995243,0.03722839,0.06595378,0.0,0.0,0.029016156,0.074633785,0.0685869,0.0,0.034080092,0.187156,0.17125267,0.0,0.09924915,0.0,0.054372672,0.059531633,0.105489284,0.057660267,0.12017119,0.1269963,0.015568345,0.0,0.14626785,0.0,0.0,0.092131704,0.0,0.0,0.0,0.0,0.0,0.018876215,0.0,0.31183618,0.035822026,0.0,0.1325573,0.0,0.0,0.0,0.0,0.10571844,0.07050315,0.0,0.04170566,0.087983355,0.117539935,0.0,0.0,0.0,0.12091113,0.0,0.0,0.0,0.0,0.0,0.018301135,0.07589515,0.014521642,0.0,0.06381249,0.0,0.0,0.0223812,0.0,0.035807796,0.0,0.0,0.0,0.0,0.0,0.0026524458,0.0,0.0,0.0,0.10335318,0.10037954,0.0,0.08653752,0.0,0.1270342,0.13212016,0.0,0.0,0.034917068,0.022734307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19051525,0.0,0.011187161,0.025224628,0.3049316,0.0,0.0,0.0,0.04051597,0.0,0.0,0.0,0.0,0.008056542,0.017858759,0.060228918,0.0,0.09423751,0.042418923,0.0,0.0,0.017487025,0.0,0.0,0.123078845,0.0,0.0,0.0,0.052043002,0.0,0.0,0.11899546,0.0,0.13545184,0.0,0.004275367,0.0,0.0,0.0,0.22312203,0.0,0.03538123,0.036916077,0.0,0.0,0.031549025,0.10677259,0.0,0.10078599,0.009026368,0.0,0.06320085,0.03172442,0.0016323179,0.0,0.17412417,0.06757117,0.0,0.041453954
TCGA-2J-AAB4-01,0.0,0.0,0.0,0.0,0.0,0.025329258,0.0,0.0012738206,0.047308628,0.0,0.0,0.0,0.012078929,0.15504146,0.03599921,0.0,0.0,0.22886662,0.0,0.0,0.08230455,0.0,0.08294295,0.054588642,0.02682307,0.06336088,0.0,0.10147795,0.07689543,0.045596723,0.0,0.0,0.0,0.07751617,0.0,0.0,0.031312,0.0,0.06976201,0.0,0.04053781,0.0,0.100200295,0.10675587,0.15170698,0.0,0.0,0.11797334,0.077506416,0.15461813,0.07633797,0.0,0.009576982,0.0021147185,0.08278939,0.0,0.012040877,0.0,0.110383116,0.044723753,0.0013693091,0.0,0.06916372,0.0,0.23506306,0.0,0.0,0.17097385,0.0,0.0,0.0,0.0,0.0,0.1066755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06916134,0.021000454,0.04912928,0.0,0.0,0.0,0.0,0.17365424,0.0,0.060655095,0.0,0.0,0.2558651,0.061202906,0.0,0.08140064,0.0,0.29234555,0.0,0.01436766,0.0077492883,0.0,0.0,0.0,0.0,0.09074497,0.0,0.039489597,0.0,0.022397203,0.0,0.10163146,0.0,0.13681962,0.06702658,0.00041474786,0.0,0.0,0.0,0.07436617,0.0,0.0,0.025145875,0.0,0.0,0.0,0.0,0.1939822,0.0,0.09587276,0.0,0.045765497,0.0,0.0,0.07541064,0.015297486,0.0,0.0,0.0,0.0,0.13391049,0.07736102,0.0,0.0,0.23376776,0.0,0.0,0.0,0.11961432,0.09483504,0.19880763,0.07903212,0.19171,0.0,0.009186006,0.065803744,0.021730043,0.0,0.07063077,0.028276674,0.0,0.0,0.04994476,0.0,0.0,0.016054729,0.008811711,0.0,0.04739115,0.12714581,0.0,0.07871492,0.0,0.04872277,0.0,0.0,0.0,0.0,0.019372562,0.12224396,0.0,0.0,0.016543083,0.030027768,0.0,0.06938622,0.0330028,0.0,0.02251938,0.09509171,0.0,0.0,0.07219857,0.06978922,0.19707993,0.18673983,0.03951737,0.0,0.0
TCGA-2J-AAB6-01,0.0,0.13963377,0.0,0.0,0.0,0.0,0.0,0.15921292,0.078221895,0.0,0.0,0.16777088,0.0,0.0,0.0,0.0,0.0,0.0960454,0.0,0.0,0.0,0.045122307,0.0,0.0,0.0,0.013982015,0.0,0.021796096,0.0,0.08749626,0.042105988,0.0,0.0,0.04667681,0.0,0.02516935,0.018329013,0.0,0.21140781,0.0,0.0,0.0,0.0,0.0,0.0505821,0.1663088,0.0,0.073997475,0.035421185,0.0,0.0,0.0,0.075641036,0.11169686,0.10614042,0.0,0.0,0.002798722,0.0014194637,0.05530329,0.14106435,0.0,0.0931287,0.023067402,0.19784072,0.0,0.23258181,0.04475403,0.029569555,0.0,0.0,0.0,0.0,0.07376884,0.0,0.0,0.0,0.0,0.016500821,0.0,0.0,0.014297886,0.16763286,0.0,0.17443639,0.0,0.0,0.05940151,0.2079307,0.043526467,0.13499089,0.0,0.0,0.06030261,0.06274615,0.07948295,0.0,0.0,0.10285911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020497682,0.059366215,0.0,0.0,0.0,0.07343083,0.0,0.0,0.117345504,0.15559554,0.0,0.0,0.0,0.018357037,0.0,0.13741998,0.0,0.0,0.0,0.06927865,0.0071718604,0.1218067,0.09045298,0.012306095,0.02522974,0.1640442,0.13959412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011480771,0.038430437,0.0,0.24444816,0.0,0.0,0.0,0.0,0.023616254,0.0,0.0,0.018435352,0.079312004,0.0,0.01644405,0.1674867,0.0,0.025591075,0.03180047,0.0,0.0038664346,0.08069851,0.0,0.0,0.0,0.0015827809,0.0,0.058223516,0.02710343,0.0,0.24030322,0.012698516,0.0336528,0.0,0.0,0.18847218,0.018418785,0.0,0.22005324,0.0,0.0,0.097599186,0.0,0.07675217,0.011233262,0.10695607,0.09940131,0.0,0.0,0.0,0.0,0.0,0.0,0.06214987,0.25703266,0.017020302,0.0,0.0
TCGA-2J-AAB8-01,0.0,0.0,0.0,0.0,0.01975682,0.044898704,0.0,0.116156474,0.06262891,0.14930943,0.04983105,0.073770896,0.0,0.0,0.0,0.0,0.056288492,0.09605413,0.0,0.03747411,0.0,0.0,0.0,0.0,0.0,0.107299626,0.0,0.011598754,0.0021683185,0.26250452,0.20914046,0.0,0.0,0.09846337,0.0,0.043460604,0.28238076,0.0,0.057488695,0.0,0.011200027,0.0,0.09036864,0.0,0.0,0.14767036,0.0,0.0,0.098470435,0.20797227,0.07086342,0.0048322217,0.0,0.0,0.1075596,0.0,0.19812872,0.027667789,0.046548076,0.08663908,0.029136177,0.0,0.06389461,0.0,0.0,0.0,0.09624009,0.07646423,0.0062765833,0.0,0.08461012,0.0,0.0,0.120937996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059732415,0.0007518206,0.0,0.0,0.018709017,0.0,0.033206247,0.0,0.15017736,0.0,0.14592601,0.054909293,0.0,0.0,0.0,0.0,0.16761017,0.0,0.0,0.0,0.0,0.0,0.092523314,0.0,0.18710266,0.0,0.0,0.0,0.0,0.023332462,0.0,0.0,0.011250269,0.0594687,0.002037806,0.0,0.0,0.09404163,0.01843827,0.037167363,0.0,0.0,0.0,0.0,0.057982232,0.0,0.029987913,0.15936248,0.008238652,0.0,0.020280357,0.04859293,0.0,0.009811988,0.0,0.0,0.0,0.0,0.0,0.0496648,0.0,0.06561558,0.0,0.30821612,0.09574198,0.0,0.0,0.0,0.0,0.0,0.12780982,0.16063786,0.07497081,0.0,0.054482616,0.0,0.0,0.0,0.0,0.0,0.0,0.07244854,0.0,0.0605079,0.10764864,0.0,0.0,0.18553708,0.0,0.0,0.0,0.0,0.07507148,0.0,0.04822038,0.015002816,0.24460037,0.0,0.08318519,0.0,0.057090364,0.08845819,0.0,0.0,0.055900563,0.0,0.0,0.09017874,0.03169756,0.0,0.0036511559,0.0,0.041471936,0.004765929,0.19458668,0.0,0.0,0.0246803
TCGA-2J-AAB9-01,0.0,0.062010013,0.0,0.0,0.13961749,0.07562165,0.0012623367,0.00852356,0.0,0.06925019,0.0,0.018404972,0.0,0.0,0.0,0.013868899,0.0,0.09405233,0.041603953,0.0,0.0,0.06785418,0.10485691,0.0,0.08921368,0.26412562,0.11579043,0.017100602,0.17020051,0.022419024,0.10853185,0.04314639,0.0,0.078381814,0.0,0.023105957,0.06289607,0.020746429,0.20831949,0.017203419,0.0,0.0,0.24784273,0.058203086,0.0,0.12025153,0.0,0.13639282,0.17408618,0.12703298,0.0,0.0,0.015546198,0.1446929,0.23369315,0.0,0.0,0.06942677,0.07808862,0.0,0.056169182,0.0,0.03295379,0.13542897,0.02411045,0.0,0.0,0.034533467,0.0,0.0,0.0,0.0,0.13264783,0.086394906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10351049,0.0,0.0,0.0484285,0.0,0.008966956,0.0,0.07150361,0.0140484385,0.0,0.0,0.08977651,0.095569514,0.061621808,0.055804916,0.10020669,0.0,0.039516505,0.0,0.0,0.0,0.0,0.056827024,0.02281477,0.054362994,0.0,0.0,0.006597812,0.016780501,0.0,0.0,0.0,0.18687585,0.0,0.060740866,0.0,0.0,0.0,0.11454035,0.0,0.0,0.0,0.0,0.07991081,0.0,0.0,0.0,0.16189595,0.026181674,0.0,0.072604366,0.0,0.0,0.002871725,0.0,0.002471611,0.08884421,0.0,0.0007753977,0.0,0.04388528,0.022751402,0.0,0.0,0.2140549,0.0,0.0,0.0,0.0,0.09501032,0.03430135,0.053221937,0.049820032,0.16531064,0.0,0.14818282,0.0,0.10876491,0.0043679494,0.019922271,0.0,0.0,0.0,0.0,0.078889,0.09032625,0.0,0.055172805,0.083676584,0.0,0.067944,0.043534823,0.0,0.0,0.0,0.0,0.101982474,0.0,0.0,0.23623152,0.0,0.08047054,0.0,0.0,0.0,0.07520206,0.18378502,0.0,0.041796394,0.010451356,0.0,0.009103185,0.03315063,0.0,0.14490485,0.0,0.0,0.0,0.13360475
TCGA-2J-AABA-01,0.00064006104,0.0,0.0,0.0,0.0,0.011810955,0.0,0.0,0.0,0.011797432,0.024664776,0.0,0.0,0.0,0.0,0.028538333,0.0,0.23369494,0.0,0.0,0.013437536,0.0,0.018544672,0.02569922,0.021284487,0.2034065,0.0,0.0,0.0,0.07273645,0.06645295,0.0011616854,0.0,0.047771677,0.0,0.0,0.021483917,0.02138695,0.07995242,0.0,0.0,0.0,0.19504938,0.0,0.09555951,0.042883232,0.0,0.12667121,0.08174886,0.048825584,0.0211173,0.0,0.0,0.038417947,0.10663782,0.0,0.0,0.117285706,0.01168601,0.0046579316,0.119152725,0.0,0.0,0.0,0.014420752,0.0,0.0,0.10704617,0.0,0.059965033,0.019221583,0.0,0.0,0.17681228,0.0,0.0,0.0,0.0,0.0,0.0,0.06051519,0.028150871,0.0,0.0,0.0042770235,0.0,0.035516743,0.0,0.09365448,0.0,0.0,0.0,0.0,0.026374303,0.08576925,0.016489848,0.10091417,0.0,0.1717145,0.0,0.047362007,0.0,0.0,0.0,0.0,0.10480473,0.044478692,0.0,0.04930157,0.0,0.0,0.0,0.0,0.0687808,0.010583963,0.0,0.05712686,0.0,0.08180797,0.14526017,0.0,0.21607439,0.0,0.0,0.0,0.0,0.0,0.0,0.024167169,0.19938466,0.0,0.0,0.0,0.0,0.0,0.0,0.070505165,0.0,0.09095613,0.0,0.09990372,0.03294441,0.02897857,0.0,0.0,0.13141115,0.09096761,0.0,0.0,0.15300556,0.03626876,0.12259788,0.06029992,0.0,0.08931055,0.0,0.07370909,0.0,0.0,0.0,0.17662527,0.0,0.0,0.0,0.0,0.10813075,0.0,0.0638622,0.005566579,0.036886867,0.033952907,0.0,0.13965386,0.0,0.03304282,0.0,0.010181524,0.0,0.0,0.00878141,0.34845817,0.0,0.024782034,0.0,0.0015257769,0.0,0.22210601,0.18341282,0.0174552,0.105446786,0.05493722,0.0,0.0,0.09480322,0.061605085,0.14696744,0.20031536,0.041714832,0.0,0.20591016
TCGA-2J-AABE-01,0.077322446,0.007279443,0.0,0.0,0.043488197,0.0039367485,0.0,0.0,0.14660414,0.15849397,0.0,0.11831121,0.029544443,0.0,0.0,0.014643488,0.0,0.037573818,0.0,0.0,0.0,0.00840866,0.017629942,0.0,0.0,0.047686506,0.0,0.09541578,0.08427538,0.25318775,0.122350544,0.042988133,0.0,0.01575886,0.0,0.08814037,0.010022082,0.017726868,0.043480057,0.0,0.0,0.0,0.18362646,0.05733782,0.0,0.0059492406,0.0,0.047679167,0.065897584,0.019501531,0.037750244,0.0,0.027956033,0.040044393,0.1267549,0.0,0.03968614,0.1086497,0.104365595,0.0,0.06922271,0.0,0.0055275676,0.0,0.10165209,0.0,0.0012761143,0.062272597,0.0,0.0,0.0,0.0,0.0,0.11630136,0.0,0.027553435,0.0,0.0,0.0,0.0,0.0,0.1038926,0.089648105,0.0,0.017207032,0.0,0.0,0.0,0.19730927,0.14898103,0.053923644,0.0,0.051528633,0.23402408,0.13036591,0.0,0.0,0.0,0.2258586,0.03592452,0.04412001,0.0,0.0,0.10472128,0.05181555,0.0,0.006619117,0.0,0.093266584,0.0,0.0,0.0,0.0,0.14902583,0.0,0.086956754,0.0,0.0,0.0,0.022551943,0.0,0.0,0.0,0.0,0.0,0.0,0.023700485,0.0,0.15050955,0.038552098,0.0,0.051081926,0.0,0.0,0.0,0.0,0.044600587,0.0,0.0,0.0,0.0,0.087059654,0.084627405,0.10644045,0.043769695,0.11783767,0.043680318,0.0,0.09177945,0.0,0.06468321,0.16601202,0.16359377,0.0,0.09101903,0.0,0.07978229,0.005953673,0.17075127,0.02187374,0.08574774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18679972,0.0,0.0,0.018894326,0.0,0.016110135,0.0,0.0,0.03552756,0.1878518,0.0,0.123264335,0.0,0.22074726,0.0,0.0,0.0,0.16887975,0.2001184,0.064449616,0.084449716,0.008467919,0.0,0.024893368,0.016983984,0.0,0.0,0.1315672,0.06873535,0.0,0.04799998
TCGA-2J-AABF-01,0.0,0.0,0.0,0.0,0.028416708,0.0,0.0,0.05197861,0.0,0.007524121,0.0,0.0,0.0,0.08730501,0.0,0.0,0.07588562,0.0019977477,0.0,0.0,0.0,0.0,0.14008331,0.0,0.0,0.12673262,0.006566184,0.0,0.0,0.025538195,0.0,0.0019066246,0.0,0.06924661,0.0,0.0,0.21661188,0.06835169,0.11960397,0.0,0.0,0.03241409,0.37724784,0.0,0.011332835,0.097500436,0.0,0.096429855,0.0,0.024005398,0.0,0.0,0.013525384,0.06374866,0.13513288,0.0,0.0,0.055320885,0.09918058,0.03149916,0.0,0.0,0.08322141,0.00783707,0.18698551,0.016726185,0.09000847,0.059743777,0.0,0.11866549,0.0,0.0,0.0,0.012093577,0.0,0.1025409,0.009530672,0.0,0.0,0.04840334,0.0,0.07564682,0.030469436,0.0,0.025552845,0.0,0.0,0.0,0.0,0.00607684,0.0,0.0,0.107325025,0.0,0.111217745,0.003053353,0.0,0.0,0.12650456,0.0,0.024926279,0.073887594,0.08164874,0.0,0.0,0.10134412,0.0,0.0,0.009458954,0.0,0.0,0.10536438,0.0,0.16087809,0.049703296,0.00691963,0.0,0.0,0.0,0.08391743,0.067105286,0.0,0.0,0.0,0.05099236,0.0,0.26038373,0.0,0.10881942,0.020992791,0.0,0.0,0.11836612,0.018064829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062671065,0.0,0.10929698,0.0,0.29354593,0.06291742,0.0,0.0,0.0,0.09693864,0.0075169173,0.109215714,0.0,0.0,0.0,0.12585437,0.13040228,0.052368384,0.0,0.0718788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113405965,0.0,0.12053949,0.0,0.0,0.17311653,0.0,0.12823562,0.28310472,0.0,0.11056565,0.022099085,0.0,0.0,0.108094245,0.03852475,0.13016239,0.0,0.0,0.0,0.0,0.07192237,0.0,0.066326015,0.046139196,0.0,0.0,0.024366898
TCGA-2J-AABH-01,0.0,0.122604825,0.0,0.0,0.0,0.13456969,0.0,0.0,0.12999009,0.0,0.0,0.0,0.04999599,0.028322913,0.033223405,0.0,0.0,0.02978988,0.0026671996,0.0,0.0,0.0,0.090912946,0.0,0.0,0.21829928,0.0094661545,0.043403126,0.124864265,0.0,0.09300036,0.0,0.0,0.01706326,0.027481206,0.13048498,0.072652645,0.0,0.021690423,0.0,0.15506177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014889374,0.034974977,0.12385204,0.0,0.0,0.064787015,0.1579813,0.0,0.16347796,0.06741045,0.0,0.045846153,0.0968298,0.0,0.030801507,0.0,0.10200982,0.0,0.0,0.1653781,0.0,0.0,0.08148724,0.0,0.0,0.050609455,0.018460583,0.16335803,0.0,0.0,0.0,0.0,0.0,0.13436566,0.14935015,0.0,0.0074211652,0.0,0.012412827,0.0,0.13444147,0.0,0.0,0.05160579,0.05662793,0.16851768,0.0,0.0,0.0,0.0,0.14309624,0.0,0.0,0.009844987,0.0,0.0,0.035543263,0.0,0.00048945524,0.0,0.18208776,0.0,0.06353462,0.090183176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04108663,0.0,0.07839639,0.0,0.048526794,0.07312358,0.0,0.0,0.18735944,0.0,0.0,0.0,0.09442669,0.0,0.060562048,0.0,0.0,0.07825936,0.019557768,0.0,0.0,0.18307054,0.010767377,0.0,0.0,0.0,0.13829741,0.23372306,0.122684315,0.080530606,0.0,0.0,0.028228939,0.051862232,0.0,0.0,0.0,0.004346283,0.031169819,0.017729843,0.0,0.109658085,0.0,0.0,0.0,0.19325642,0.0,0.036004443,0.051121596,0.0,0.03933532,0.014496427,0.0,0.24082817,0.0,0.13651697,0.19818285,0.063510604,0.0,0.23863758,0.0,0.050705813,0.018522397,0.044365928,0.0,0.03400794,0.08644437,0.0,0.09899808,0.06540797,0.10127864,0.029896341,0.12981546,0.0,0.0,0.0
TCGA-2J-AABI-01,0.058553584,0.028354019,0.0,0.0,0.041988738,0.0,0.0,0.0,0.014183954,0.030789426,0.0002708501,0.040769402,0.0,0.0,0.0,0.0,0.0,0.032429427,0.06540057,0.0,0.0,0.056264535,0.0,0.0006855251,0.15402934,0.2504822,0.16131668,0.06744956,0.0,0.1767958,0.0,0.07290559,0.0,0.12938279,0.07418733,0.0,0.025873968,0.0,0.17967959,0.0,0.0,0.0,0.08065477,0.0,0.016310053,0.15038013,0.0,0.008178556,0.1340929,0.1459613,0.029102454,0.0,0.044089995,0.13340756,0.068926744,0.0,0.07540575,0.090175815,0.13830943,0.0,0.049870163,0.0,0.021615062,0.030536829,0.13185062,0.0,0.09203358,0.12708573,0.0,0.06584,0.0,0.0,0.049905784,0.0,0.0,0.0,0.030687593,0.0,0.0,0.0,0.0,0.14350589,0.0,0.0,0.16109131,0.0,0.0,0.0,0.18637523,0.0,0.05732085,0.0,0.0,0.06491397,0.15519597,0.0,0.0,0.100659005,0.08922176,0.022177216,0.0,0.0,0.05034821,0.0,0.057401627,0.02807718,0.0,0.0,0.02354952,0.0,0.0,0.0,0.01135784,0.21108851,0.0,0.039113905,0.009442839,0.0,0.092436194,0.01870472,0.0,0.0,0.0,0.0,0.0,0.0,0.09128464,0.0,0.08817054,0.0,0.0,0.0,0.0,0.031148974,0.0,0.0,0.0,0.16509698,0.0,0.0,0.0,0.108539544,0.03613546,0.0,0.0,0.1335145,0.0,0.0,0.113343015,0.0,0.012894241,0.0,0.08780796,0.0,0.120297626,0.044651173,0.17954683,0.0935327,0.10917261,0.021372017,0.035778508,0.0,0.0,0.01452208,0.0,0.0,0.037252996,0.0,0.007532407,0.11530359,0.0,0.079389855,0.030277375,0.0,0.15623443,0.0,0.0,0.042970967,0.0035052185,0.00353819,0.26651606,0.0,0.09456808,0.030333273,0.0,0.020763326,0.16977282,0.07281337,0.0,0.12387715,0.0,0.0,0.13135017,0.0023029263,0.008369339,0.022712355,0.009337393,0.057137147,0.0,0.17850521
