feature,importance,modality
ADORA3_methylation,0.028592337,methylation
PRICKLE1_methylation,0.024395738,methylation
PIGU_methylation,0.022599688,methylation
ZNF596_geneExp,0.019973155,mRNA
ZNF286A_methylation,0.017707797,methylation
MIR938_miRNAExp,0.017457044,miRNA
HMOX2_methylation,0.016647406,methylation
CERS2_geneExp,0.016219119,mRNA
ZNF324_methylation,0.014824259,methylation
MIR1307_miRNAExp,0.013855282,miRNA
ADO_geneExp,0.013348582,mRNA
ACOT4_geneExp,0.013313791,mRNA
THOC7_methylation,0.01264361,methylation
MEN1_methylation,0.012178204,methylation
EI24_geneExp,0.010795318,mRNA
PAH_methylation,0.01017268,methylation
IFNL2_geneExp,0.010151452,mRNA
CYP2J2_methylation,0.010066975,methylation
MAP3K5_geneExp,0.009980184,mRNA
SKAP1_methylation,0.00980363,methylation
CDC42_geneExp,0.0096861245,mRNA
GAA_methylation,0.0094953785,methylation
CD40_methylation,0.009432792,methylation
MIR6087_miRNAExp,0.00937535,miRNA
BARD1_geneExp,0.00932698,mRNA
NXF3_methylation,0.00922535,methylation
MIR3652_miRNAExp,0.008934905,miRNA
FZD8_geneExp,0.00892723,mRNA
SHMT1_methylation,0.008921841,methylation
CYP24A1_geneExp,0.008688543,mRNA
GH1_geneExp,0.008474114,mRNA
PHAX_methylation,0.008470504,methylation
WNT7A_geneExp,0.008447296,mRNA
SRF_methylation,0.008365771,methylation
PRKCG_geneExp,0.008247802,mRNA
FOSL2_methylation,0.00823804,methylation
ADM_geneExp,0.007699991,mRNA
P4HA1_geneExp,0.007611228,mRNA
ZNF101_methylation,0.007364876,methylation
SCN1B_geneExp,0.0073042177,mRNA
EDN2_geneExp,0.0072169816,mRNA
MIR511_miRNAExp,0.0070900605,miRNA
ZNF235_methylation,0.007071569,methylation
RALBP1_methylation,0.007054461,methylation
MIR1277_miRNAExp,0.0069388356,miRNA
ZNF235_geneExp,0.0069345282,mRNA
ADH1A_geneExp,0.0066845547,mRNA
ZNF136_methylation,0.006668363,methylation
DEPDC5_geneExp,0.0066215023,mRNA
UBE2D4_geneExp,0.0065002376,mRNA
SEPHS2_geneExp,0.0062730378,mRNA
OR51V1_methylation,0.006230639,methylation
SLURP1_geneExp,0.0062196637,mRNA
NDUFB5_methylation,0.006219127,methylation
CLDN11_geneExp,0.0062023303,mRNA
HDAC4_methylation,0.0061941585,methylation
NRXN1_methylation,0.0060959673,methylation
ATXN1_methylation,0.0060296315,methylation
HMGB1_methylation,0.00599652,methylation
RTN4_methylation,0.0059882933,methylation
CTSD_methylation,0.005984938,methylation
CXCL5_methylation,0.0058910637,methylation
TAP2_geneExp,0.0058143074,mRNA
GPAT2_geneExp,0.005771123,mRNA
AQP1_methylation,0.005522159,methylation
PSPH_geneExp,0.005397213,mRNA
ACACA_geneExp,0.0053685494,mRNA
AMBRA1_geneExp,0.0052636173,mRNA
OPTN_methylation,0.005200452,methylation
IRF7_geneExp,0.005156359,mRNA
ZNF699_methylation,0.005145897,methylation
HDAC3_geneExp,0.0050256792,mRNA
GBE1_geneExp,0.00500277,mRNA
SMAD6_geneExp,0.0047936044,mRNA
B4GALT6_methylation,0.0047095246,methylation
ST6GALNAC5_methylation,0.0046884357,methylation
ERO1A_geneExp,0.0045871474,mRNA
TAB3_methylation,0.0045862943,methylation
SEPSECS_geneExp,0.004516066,mRNA
KLC4_geneExp,0.004508245,mRNA
CARD6_methylation,0.0044947537,methylation
GFAP_geneExp,0.004424947,mRNA
GDF7_geneExp,0.004411612,mRNA
TRIM5_geneExp,0.004259222,mRNA
CCNE1_methylation,0.0042356807,methylation
PLK1_methylation,0.0042096353,methylation
AOX1_methylation,0.004156305,methylation
THBS3_methylation,0.004062062,methylation
MIR3615_miRNAExp,0.004010196,miRNA
MOGAT1_geneExp,0.004004511,mRNA
HNF1B_geneExp,0.004003069,mRNA
CD1D_methylation,0.003936259,methylation
EML4_geneExp,0.0038086495,mRNA
CPS1_methylation,0.0036616635,methylation
PTPRF_methylation,0.0035882432,methylation
GALNT14_geneExp,0.0035809746,mRNA
IFNGR2_geneExp,0.0035602637,mRNA
ATG13_geneExp,0.0035136784,mRNA
MIR6882_miRNAExp,0.003465045,miRNA
PTH1R_methylation,0.0034549423,methylation
HLA-DRA_methylation,0.003452657,methylation
MIR214_miRNAExp,0.0034196295,miRNA
SRSF2_geneExp,0.00321783,mRNA
LAT_geneExp,0.0031547237,mRNA
MIR550A-1_miRNAExp,0.003128411,miRNA
PSMD4_methylation,0.0030981146,methylation
KRT13_geneExp,0.0030806034,mRNA
GP1BB_methylation,0.0030715803,methylation
MAPK9_geneExp,0.0030545609,mRNA
ST3GAL2_methylation,0.0029902977,methylation
ORAI2_geneExp,0.0029855773,mRNA
SUMO4_methylation,0.0028675124,methylation
HDAC6_methylation,0.0028420114,methylation
SAR1A_geneExp,0.0028327152,mRNA
FMR1_methylation,0.0027675505,methylation
RASGRP4_methylation,0.0027405934,methylation
ZNF226_geneExp,0.0027377727,mRNA
PEX13_geneExp,0.0027338318,mRNA
KCNJ1_geneExp,0.0027111564,mRNA
HSPA2_geneExp,0.0026651977,mRNA
COL6A2_methylation,0.0025582875,methylation
RBPJ_geneExp,0.0024770007,mRNA
HMOX1_geneExp,0.002461196,mRNA
MAP2K6_geneExp,0.0024084852,mRNA
MRC2_methylation,0.0023968369,methylation
PMS2_geneExp,0.0023890238,mRNA
WDR59_methylation,0.0023877812,methylation
HEYL_methylation,0.0023789161,methylation
MINPP1_methylation,0.0023298182,methylation
OR12D2_methylation,0.0022686755,methylation
MIR570_miRNAExp,0.002262427,miRNA
ADH7_methylation,0.0022586063,methylation
